# sim/spectral_table.csv -- the committed spectral basis for Q4 (northstar design §8, M1a0).
# Generated by tools/make_spectral_table.py; do not hand-edit.
# producer_commit: 5246a509ff21492c30ba97a51bc5832cc763dba6
# quadrature: trapezoid
# formatter: %.10e , newline \n
# grid: ASTM G173-03 native, 2002 rows, 280-4000 nm
# source: ASTMG173.csv  md5 b31870bd3500b58414100af7e4b0e04c  size 57708 B  pvlib-python commit 2d0ed71e1308293b3081979404f8e90f2f2dde1e
# source: iop2008.dat  md5 cf5f76d58a31aa5f994fa038c390a856  size 16514 B  Warren & Brandt 2008, IOP_2008_ASCIItable.dat
# k_per_m: 4*pi*m_im/lambda, m_im log-space interpolated over 250-4200 nm
# E_AM0: ASTM column 2 (extraterrestrial), W m^-2 nm^-1
# n_ph: E_AM0*lambda/(h c), h 6.62607015e-34 J s, c 299792458.0 m/s
lambda_nm,k_per_m,E_AM0,n_ph
3.3750000000e+02,7.4467381418e-04,8.7732000000e-01,1.4905792621e+18
3.3800000000e+02,7.4357222570e-04,9.2529000000e-01,1.5744099889e+18
3.3850000000e+02,7.4247389154e-04,9.5783000000e-01,1.6321887346e+18
3.3900000000e+02,7.4137879731e-04,9.6863000000e-01,1.6530305561e+18
3.3950000000e+02,7.4028692868e-04,9.8900000000e-01,1.6902826664e+18
3.4000000000e+02,7.3919827143e-04,1.0544000000e+00,1.8047106530e+18
3.4050000000e+02,7.3811281142e-04,1.0463000000e+00,1.7934802941e+18
3.4100000000e+02,7.3703053457e-04,9.7100000000e-01,1.6668513708e+18
3.4150000000e+02,7.3595142690e-04,9.5900000000e-01,1.6486656247e+18
3.4200000000e+02,7.3487547452e-04,9.9570000000e-01,1.7142646943e+18
3.4250000000e+02,7.3380266361e-04,1.0277000000e+00,1.7719448468e+18
3.4300000000e+02,7.3273298043e-04,1.0417000000e+00,1.7987054553e+18
3.4350000000e+02,7.3166641132e-04,9.8301000000e-01,1.6998396094e+18
3.4400000000e+02,7.3060294270e-04,8.5416000000e-01,1.4791797065e+18
3.4450000000e+02,7.2954256107e-04,8.1300000000e-01,1.4099478171e+18
3.4500000000e+02,7.2848525301e-04,9.1583000000e-01,1.5905862667e+18
3.4550000000e+02,7.2743100517e-04,9.7021000000e-01,1.6874739062e+18
3.4600000000e+02,7.2637980430e-04,9.4269000000e-01,1.6419815261e+18
3.4650000000e+02,7.2533163719e-04,9.5594000000e-01,1.6674665902e+18
3.4700000000e+02,7.2428649074e-04,9.6954000000e-01,1.6936297498e+18
3.4750000000e+02,7.2324435191e-04,9.3318000000e-01,1.6324635722e+18
3.4800000000e+02,7.2220520772e-04,9.2472000000e-01,1.6199915988e+18
3.4850000000e+02,7.2116904530e-04,9.3721000000e-01,1.6442314993e+18
3.4900000000e+02,7.2013585183e-04,8.9900000000e-01,1.5794591072e+18
3.4950000000e+02,7.1910561456e-04,9.1969000000e-01,1.6181244198e+18
3.5000000000e+02,7.1807832082e-04,1.0122000000e+00,1.7834364764e+18
3.5050000000e+02,7.1705395802e-04,1.0849000000e+00,1.9142603290e+18
3.5100000000e+02,7.1603251364e-04,1.0534000000e+00,1.8613313757e+18
3.5150000000e+02,7.1501397521e-04,1.0129000000e+00,1.7923184199e+18
3.5200000000e+02,7.1399833036e-04,9.8383000000e-01,1.7433556457e+18
3.5250000000e+02,7.1298556677e-04,9.2600000000e-01,1.6432111594e+18
3.5300000000e+02,7.1197567220e-04,9.8012000000e-01,1.7417155306e+18
3.5350000000e+02,7.1096863448e-04,1.0752000000e+00,1.9133831342e+18
3.5400000000e+02,7.0996444149e-04,1.1346000000e+00,2.0219448648e+18
3.5450000000e+02,7.0896308121e-04,1.1440000000e+00,2.0415759057e+18
3.5500000000e+02,7.0796454165e-04,1.1406000000e+00,2.0383792417e+18
3.5550000000e+02,7.0696881093e-04,1.0964000000e+00,1.9621486214e+18
3.5600000000e+02,7.0597587721e-04,1.0250000000e+00,1.8369491355e+18
3.5650000000e+02,7.0498572872e-04,9.5914000000e-01,1.7213326443e+18
3.5700000000e+02,7.0399835375e-04,8.4200000000e-01,1.5132252355e+18
3.5750000000e+02,7.0301374066e-04,8.5015000000e-01,1.5300121265e+18
3.5800000000e+02,7.0203187790e-04,7.8916000000e-01,1.4222349881e+18
3.5850000000e+02,7.0105275394e-04,7.3100000000e-01,1.3192582071e+18
3.5900000000e+02,7.0007635735e-04,8.5805000000e-01,1.5507090158e+18
3.5950000000e+02,6.9910267674e-04,1.0321000000e+00,1.8678583595e+18
3.6000000000e+02,6.9813170080e-04,1.0890000000e+00,1.9735750591e+18
3.6050000000e+02,6.9716341827e-04,1.0265000000e+00,1.8628911967e+18
3.6100000000e+02,6.9619781797e-04,9.4150000000e-01,1.7110030902e+18
3.6150000000e+02,6.9523488876e-04,9.1800000000e-01,1.6706068218e+18
3.6200000000e+02,6.9427461958e-04,9.5800000000e-01,1.7458114892e+18
3.6250000000e+02,6.9331699941e-04,1.0450000000e+00,1.9069862822e+18
3.6300000000e+02,6.9236201732e-04,1.0710000000e+00,1.9571286003e+18
3.6350000000e+02,6.9140966241e-04,1.0380000000e+00,1.8994376244e+18
3.6400000000e+02,6.9045992387e-04,1.0716000000e+00,1.9636195902e+18
3.6450000000e+02,6.8951279091e-04,1.0590000000e+00,1.9431966827e+18
3.6500000000e+02,6.8856825284e-04,1.0970000000e+00,2.0156854442e+18
3.6550000000e+02,6.8762629901e-04,1.2041000000e+00,2.2155074019e+18
3.6600000000e+02,6.8668691882e-04,1.2860000000e+00,2.3694378495e+18
3.6650000000e+02,6.8575010174e-04,1.2843000000e+00,2.3695382802e+18
3.6700000000e+02,6.8481583729e-04,1.2577000000e+00,2.3236268854e+18
3.6750000000e+02,6.8388411507e-04,1.2317000000e+00,2.2786916058e+18
3.6800000000e+02,6.8295492469e-04,1.1570000000e+00,2.1434060157e+18
3.6850000000e+02,6.8202825587e-04,1.1459000000e+00,2.1257269534e+18
3.6900000000e+02,6.8110409834e-04,1.1944000000e+00,2.2187043176e+18
3.6950000000e+02,6.8018244191e-04,1.2795000000e+00,2.3800057187e+18
3.7000000000e+02,6.7926327645e-04,1.2934000000e+00,2.4091167563e+18
3.7050000000e+02,6.7834659187e-04,1.1660000000e+00,2.1747534595e+18
3.7100000000e+02,6.7743237813e-04,1.1811000000e+00,2.2058899739e+18
3.7150000000e+02,6.7652062527e-04,1.2249000000e+00,2.2907765060e+18
3.7200000000e+02,6.7561132335e-04,1.1444000000e+00,2.1431079960e+18
3.7250000000e+02,6.7470446252e-04,1.0876000000e+00,2.0394766791e+18
3.7300000000e+02,6.7380003294e-04,1.0445000000e+00,1.9612842635e+18
3.7350000000e+02,6.7289802487e-04,9.3900000000e-01,1.7655477432e+18
3.7400000000e+02,6.7199842858e-04,9.3442000000e-01,1.7592882219e+18
3.7450000000e+02,6.7110123441e-04,9.2500000000e-01,1.7438809055e+18
3.7500000000e+02,6.7020643277e-04,9.8500000000e-01,1.8594768071e+18
3.7550000000e+02,6.6931401408e-04,1.0874000000e+00,2.0555239325e+18
3.7600000000e+02,6.6842396885e-04,1.1240000000e+00,2.1275384802e+18
3.7650000000e+02,6.6753628762e-04,1.1040000000e+00,2.0924607560e+18
3.7700000000e+02,6.6665096097e-04,1.1813000000e+00,2.2419443168e+18
3.7750000000e+02,6.6576797957e-04,1.3149000000e+00,2.4988083527e+18
3.7800000000e+02,6.6488733409e-04,1.4144000000e+00,2.6914561908e+18
3.7850000000e+02,6.6400901529e-04,1.3765000000e+00,2.6228011608e+18
3.7900000000e+02,6.6313301395e-04,1.2260000000e+00,2.3391223996e+18
